id;code;description;default_value
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-anchor;fa-anchor css class;fa-anchor
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-archive;fa-archive css class;fa-archive
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-arrows;fa-arrows css class;fa-arrows
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-arrows-h;fa-arrows-h css class;fa-arrows-h
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-arrows-v;fa-arrows-v css class;fa-arrows-v
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-asterisk;fa-asterisk css class;fa-asterisk
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-ban;fa-ban css class;fa-ban
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bar-chart-o;fa-bar-chart-o css class;fa-bar-chart-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-barcode;fa-barcode css class;fa-barcode
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bars;fa-bars css class;fa-bars
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-beer;fa-beer css class;fa-beer
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bell;fa-bell css class;fa-bell
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bell-o;fa-bell-o css class;fa-bell-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bolt;fa-bolt css class;fa-bolt
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-book;fa-book css class;fa-book
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bookmark;fa-bookmark css class;fa-bookmark
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bookmark-o;fa-bookmark-o css class;fa-bookmark-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-briefcase;fa-briefcase css class;fa-briefcase
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bug;fa-bug css class;fa-bug
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-building-o;fa-building-o css class;fa-building-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bullhorn;fa-bullhorn css class;fa-bullhorn
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bullseye;fa-bullseye css class;fa-bullseye
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-calendar;fa-calendar css class;fa-calendar
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-calendar-o;fa-calendar-o css class;fa-calendar-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-camera;fa-camera css class;fa-camera
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-camera-retro;fa-camera-retro css class;fa-camera-retro
